fecha,producto,cantidad,precio_costo,precio_venta
2025-01,agua_500ml,164,907,1308
2025-01,agua_2l,400,1709,2431
2025-01,agua_5l,444,4026,5615
2025-01,agua_20l,514,6746,9231
2025-02,agua_500ml,228,918,1321
2025-02,agua_2l,443,1726,2449
2025-02,agua_5l,235,4053,5641
2025-02,agua_20l,508,6795,9282
2025-03,agua_500ml,180,929,1333
2025-03,agua_2l,238,1743,2467
2025-03,agua_5l,491,4080,5667
2025-03,agua_20l,562,6844,9333
2025-04,agua_500ml,478,940,1346
2025-04,agua_2l,388,1761,2485
2025-04,agua_5l,360,4107,5692
2025-04,agua_20l,662,6894,9385
2025-05,agua_500ml,127,952,1359
2025-05,agua_2l,140,1778,2503
2025-05,agua_5l,234,4135,5718
2025-05,agua_20l,730,6944,9436
2025-06,agua_500ml,367,963,1372
2025-06,agua_2l,427,1795,2521
2025-06,agua_5l,132,4162,5744
2025-06,agua_20l,700,6994,9487
2025-07,agua_500ml,315,975,1385
2025-07,agua_2l,161,1812,2538
2025-07,agua_5l,392,4189,5769
2025-07,agua_20l,547,7043,9538
2025-08,agua_500ml,459,986,1397
2025-08,agua_2l,271,1829,2556
2025-08,agua_5l,313,4217,5795
2025-08,agua_20l,598,7094,9590
2025-09,agua_500ml,200,997,1410
2025-09,agua_2l,326,1847,2574
2025-09,agua_5l,230,4245,5821
2025-09,agua_20l,534,7144,9641
2025-10,agua_500ml,317,1009,1423
2025-10,agua_2l,104,1864,2592
2025-10,agua_5l,354,4272,5846
2025-10,agua_20l,756,7194,9692
2025-11,agua_500ml,306,1021,1436
2025-11,agua_2l,492,1882,2610
2025-11,agua_5l,114,4300,5872
2025-11,agua_20l,782,7246,9744
2025-12,agua_500ml,278,1033,1449
2025-12,agua_2l,479,1900,2628
2025-12,agua_5l,162,4327,5897
2025-12,agua_20l,541,7296,9795
2026-01,agua_500ml,151,1045,1462
2026-01,agua_2l,340,1917,2646
2026-01,agua_5l,195,4356,5923
2026-01,agua_20l,730,7347,9846
2026-02,agua_500ml,336,1056,1474
2026-02,agua_2l,330,1935,2664
2026-02,agua_5l,242,4384,5949
2026-02,agua_20l,721,7397,9897
2026-03,agua_500ml,135,1068,1487
2026-03,agua_2l,128,1953,2682
2026-03,agua_5l,112,4412,5974
2026-03,agua_20l,670,7449,9949
2026-04,agua_500ml,286,1080,1500
2026-04,agua_2l,426,1971,2700
2026-04,agua_5l,342,4440,6000
2026-04,agua_20l,659,7500,10000
